x,y,z
0,40652,248.8
0,40651,249.1
0,40753,245.5
0,40369,244
0,40946,243.3
0,40944,246
0,40566,245.7
0,40851,245.6
0,40661,245.9
0,40853,246.6
0,40374,247.7
0,40665,247.6
0,40762,247.7
0,40959,247.7
0,41055,247.7
0,40578,247.5
0,40678,247.3
0,40869,247.1
0,40778,247.8
0,40776,248.1
0,40871,248.5
0,40876,248.4
0,40975,248.3
0,40970,248
0,40490,248
0,40691,247.6
0,40305,247.7
0,40303,248.2
0,40498,248.3
0,40889,246.6
0,40981,246.8
0,40700,247.1
0,40708,248
0,40992,248.7
0,40994,248.6
0,41087,249.4
0,40991,248.8
0,41003,247.9
0,41093,248.1
0,41101,248.9
0,41009,247.2
0,40718,247
0,40911,247.2
0,41100,250.5
0,40809,250.3
0,40429,249.4
0,40336,248.7
0,40914,248.6
0,40921,248.7
0,40822,249.4
0,40920,249.6
0,40922,249.5
0,41210,248.6
0,40924,249.1
0,40544,248.9
0,41124,249.6
0,41025,249.5
0,40835,249.1
0,40934,249.4
0,40833,248.4
0,40646,247.9
0,40937,248.3
0,40846,247.9
0,41037,246.1
0,41226,246.7
0,40941,251.1
0,40851,249.5
0,40840,250.8
0,41037,251
0,41041,251.2
0,41143,251.3
0,41052,251.3
0,40667,251.8
0,40763,251.8
0,41057,252.1
0,41058,252
0,41058,251.3
0,41255,251.2
0,40869,251.6
0,40872,250.5
0,40869,246.5
0,41256,246
0,41355,245.5
0,40873,247.3
0,40685,246.9
0,40783,247.5
0,40784,247
0,40777,249.7
0,40783,249.4
0,40594,250.6
0,40882,247.8
0,40597,248.1
0,40888,248.6
0,40791,249.6
0,40406,250
0,40698,250.7
0,58717,324
0,58426,324
0,58427,326.5
0,58718,327.1
0,58725,327.5
0,58156,327.7
0,58441,327.6
0,58252,328.4
0,58544,327.8
0,58245,329.2
0,58164,328.2
0,58168,329.1
0,58458,328.2
0,58560,328.7
0,58184,328.3
0,58955,326.2
0,58950,325.7
0,58673,325.2
0,58487,325.1
0,58481,325.4
0,58593,325.3
0,58591,326
0,58495,326.2
0,58503,326.5
0,58507,327.3
0,58989,328.5
0,58710,328.2
0,58230,326.9
0,58318,327.1
0,58912,328.3
0,58906,328.8
0,58721,327.8
0,58533,327.6
0,58921,328.4
0,58824,330.8
0,58642,326.8
0,58633,327.2
0,58754,326.8
0,58458,334.6
0,58759,333.1
0,58466,327.1
0,58468,325.8
0,59058,325.6
0,58971,326.1
0,58769,326.2
0,58866,326.5
0,58478,327.8
0,58689,326.3
0,58689,327.4
0,58984,328
0,58984,328.9
0,59189,329.4
0,58889,329.2
0,59001,329.2
0,58603,329.8
0,58799,330
0,58826,329.9
0,58814,330
0,58620,330.3
0,58230,327.2
0,58334,327.3
0,58435,328.2
0,58821,327.5
0,58825,327.8
0,58440,328.4
0,58640,328.9
0,58734,328.4
0,58739,325.8
0,58648,326.3
0,58456,326.1
0,58747,326.8
0,58563,326.8
0,58665,327.6
0,58667,328.8
0,58570,329.3
0,58960,329.1
0,58672,329.4
0,58678,330
0,58765,330.1
0,58496,328.9
0,58886,330.4
0,58788,329.4
0,58604,330.1
0,58891,330.2
0,58993,328.5
0,58997,326.8
0,58802,326.5
0,58816,327.5
0,58713,328.4
0,58815,326.1
0,58908,326.2
0,58915,326.8
0,59121,327.2
0,59222,327
0,58747,326.8
0,58742,327.6
0,58647,329.9
0,58752,331.3
0,58945,331.8
0,58953,328.9
0,59338,328.9
0,58960,329
0,59046,329.9
0,59240,329.2
0,59253,330
0,58774,329.5
0,59059,329.1
0,59175,327.1
0,58768,328.1
0,58870,332.3
0,85758,437.8
0,85461,439.3
0,85964,435.1
0,85765,435.5
0,85495,435.8
0,85115,437.7
0,86003,437.2
0,85214,432.7
0,85821,434.3
0,85913,433.4
0,85815,435.1
0,86021,436.7
0,85740,437.2
0,85638,437.3
0,85836,440.6
0,85759,439.4
0,85563,439
0,86053,433.4
0,86449,434.2
0,85889,434.3
0,85884,439.9
0,85992,439.6
0,85801,440.2
0,85996,439.7
0,86109,437.1
0,86006,435.1
0,85322,435.3
0,86025,436.7
0,85921,436.4
0,85729,435.4
0,86134,436.5
0,85950,440.2
0,85848,441.2
0,85753,439.8
0,85856,439.2
0,86154,440.9
0,86371,440.8
0,85971,440.1
0,85791,440.2
0,86187,440.8
0,85713,440.3
0,86109,441.2
0,86113,441
0,86608,438.7
0,86116,439.4
0,86245,440.1
0,86627,434.2
0,86239,433.7
0,86047,434.2
0,86153,433.9
0,86154,440
0,85962,440.2
0,85969,436.7
0,85779,436.7
0,86287,436.4
0,85887,436.5
0,86182,439.4
0,86397,439.7
0,86587,443.5
0,86500,444.4
0,86494,445.3
0,86505,444.1
0,86414,442.7
0,86224,439.6
0,86029,441.3
0,85935,441
0,85547,441.7
0,85951,442
0,86139,442.4
0,86460,441.4
0,86561,444
0,86778,441.7
0,86776,437.7
0,85793,436.6
0,86197,437.4
0,86005,436.5
0,86008,440.9
0,86808,441.8
0,85914,442.6
0,85923,439
0,86321,440
0,86530,439.6
0,85840,440.2
0,86342,438.2
0,86342,439.4
0,86841,439.3
