x,y,z
0,54.6,6.03
0,54.83,6.08
0,54.73,6.05
0,54.26,6
0,54.29,6.01
0,54.69,6.07
0,54.77,6.07
0,54.65,6.05
0,54.59,6.03
0,54.71,6.07
0,55.42,6.06
0,54.96,6.04
0,54.83,6.04
0,54.75,6.05
0,55.71,6.02
0,55.34,6.05
0,54.49,6.02
0,54.35,6.02
0,54.32,6.08
0,54.39,6.07
0,54.41,6.05
0,54.48,6.06
0,54.68,6.02
0,54.44,6.04
0,54.6,6.04
0,54.7,6.07
0,54.81,6.07
0,54.92,6.09
0,54.92,6.06
0,54.91,6.07
0,55.03,6.03
0,55.05,6.05
0,55,6.05
0,55.08,6.05
0,55.14,6.03
0,54.61,5.99
0,54.61,6
0,54.75,6.01
0,54.62,6.05
0,54.68,6.05
0,54.76,6.01
0,54.82,6.03
0,54.59,6.04
0,54.34,6.04
0,54.41,6.03
0,54.37,6.01
0,54.48,6.04
0,54.45,6.02
0,54.59,6.03
0,54.79,6.03
0,54.82,6.02
0,54.8,6.06
0,54.85,6.03
0,54.94,6.03
0,54.96,6.04
0,54.76,6.01
0,55.03,6.05
0,54.85,6.04
0,54.96,6.02
0,54.99,6.05
0,54.79,6.06
0,54.61,6.06
0,54.56,6.04
0,54.64,6.04
0,54.82,6.03
0,54.4,6.04
0,54.3,6.05
0,54.38,6.05
0,54.43,6.07
0,54.38,6.08
0,54.34,6.03
0,54.47,6.03
0,54.73,6.02
0,55.13,6.03
0,55.2,6.05
0,54.84,6.05
0,54.69,6.09
0,54.66,6.05
0,54.85,6.06
0,54.75,6.08
0,55.09,6.08
0,55.02,6.03
0,55.06,6.06
0,54.8,6.07
0,54.98,6.03
0,55.49,6.04
0,71.86,8.73
0,72.09,8.7
0,71.6,8.75
0,71.73,8.73
0,71.73,8.7
0,72,8.66
0,71.58,8.75
0,70.84,8.67
0,71.06,8.73
0,70.96,8.74
0,71.28,8.73
0,71.54,8.75
0,71.62,8.72
0,71.69,8.71
0,72.38,8.73
0,72.18,8.72
0,72.03,8.7
0,71.06,8.75
0,71.13,8.79
0,71.16,8.73
0,72.11,8.73
0,72.07,8.74
0,72.17,8.72
0,72.05,8.74
0,71.64,8.75
0,71.35,8.74
0,71.41,8.67
0,71.48,8.74
0,71.45,8.73
0,71.32,8.71
0,71.49,8.75
0,72.08,8.73
0,72.28,8.72
0,72.06,8.71
0,72.01,8.72
0,72.25,8.75
0,72.19,8.77
0,72.21,8.73
0,72.27,8.71
0,72.37,8.75
0,72.25,8.7
0,72.42,8.74
0,72.43,8.74
0,72.06,8.79
0,72.13,8.74
0,72.19,8.75
0,71.2,8.79
0,71.17,8.75
0,71.19,8.73
0,71.17,8.74
0,72.14,8.74
0,72.13,8.72
0,71.42,8.72
0,71.48,8.7
0,71.41,8.75
0,71.47,8.71
0,72.12,8.74
0,72.21,8.76
0,72.85,8.78
0,72.97,8.77
0,73.14,8.77
0,72.68,8.77
0,72.43,8.76
0,72.04,8.74
0,72.32,8.72
0,72.33,8.71
0,72.42,8.67
0,72.44,8.71
0,72.43,8.73
0,72.14,8.76
0,72.55,8.77
0,72.15,8.79
0,71.68,8.79
0,71.6,8.69
0,71.74,8.73
0,71.52,8.71
0,72.11,8.71
0,72.25,8.79
0,72.35,8.7
0,71.91,8.7
0,72.13,8.74
0,72.07,8.76
0,72.16,8.69
0,71.69,8.74
0,71.9,8.74
0,71.91,8.79
0,71.98,8.76
0,72.13,8.7
0,72.11,8.73
0,72.12,8.74
0,72.12,8.77
0,72.13,8.77
0,72.12,8.72
0,72.38,8.7
0,72.47,8.7
0,72.25,8.79
0,71.9,8.74
0,71.95,8.71
0,72.06,8.73
0,71.76,8.72
1,9.713,0
1,9.808,0
1,11.14,0
1,11.13,0
1,10.05,0
1,9.493,0
1,9.436,0
1,9.382,0
1,9.261,0
1,9.737,0
1,9.986,0
1,10.5,0
1,10.67,0
1,10.7,0
1,10.79,0
1,10.36,0
1,10.09,0
1,10.1,0
1,10.29,0
1,10.28,0
1,10.26,0
1,10.39,0
1,10.04,0
1,10.02,0
1,9.908,0
1,9.789,0
1,9.766,0
1,9.838,0
1,9.984,0
1,10.43,0
1,15.74,0.69
1,15.95,0.69
1,15.81,0.7
1,15.8,0.71
1,15.77,0.7
1,15.74,0.71
1,16.05,0.71
1,16.01,0.71
1,16,0.72
1,15.88,0.72
1,15.75,0.72
1,15.72,0.72
1,15.73,0.72
1,15.71,0.72
1,16.24,0.72
1,16.41,0.71
1,16.59,0.72
1,16.61,0.72
1,16.58,0.72
1,16.57,0.72
1,16.34,0.73
1,16.16,0.72
1,16.09,0.73
1,16.11,0.73
1,16.42,0.72
1,16.42,0.73
1,16.17,0.73
1,16.15,0.74
1,16.17,0.73
1,15.87,0.73
1,16.36,0.74
1,16.31,0.72
1,16.31,0.73
1,16.69,0.75
1,16.59,0.74
1,16.55,0.72
1,16.71,0.73
1,16.69,0.73
1,16.66,0.74
1,16.65,0.73
1,16.63,0.74
1,16.36,0.73
1,16.38,0.72
1,16.37,0.73
1,16.36,0.73
1,16.59,0.72
1,16.6,0.72
1,16.6,0.73
1,16.57,0.73
1,16.69,0.74
1,16.82,0.74
1,16.83,0.75
1,16.93,0.73
1,16.53,0.73
1,16.5,0.74
1,16.51,0.73
1,16.5,0.74
1,16.42,0.75
1,16.45,0.74
1,16.5,0.74
1,24.87,1.4
1,24.87,1.43
1,24.81,1.42
1,24.75,1.42
1,25.02,1.41
1,24.96,1.43
1,24.98,1.42
1,24.9,1.4
1,24.88,1.39
1,24.88,1.4
1,24.99,1.39
1,24.56,1.38
1,24.56,1.39
1,24.54,1.38
1,24.5,1.39
1,25.01,1.41
1,25.19,1.4
1,25.1,1.4
1,25.15,1.42
1,25.07,1.42
1,25.07,1.41
1,25.03,1.4
1,25.07,1.4
1,25.05,1.41
1,24.73,1.39
1,24.7,1.39
1,24.67,1.39
1,24.75,1.4
1,24.75,1.4
1,24.69,1.4
1,24.66,1.39
1,24.67,1.4
1,24.62,1.42
1,24.62,1.42
1,24.56,1.42
1,24.8,1.41
1,24.77,1.42
1,24.71,1.42
1,24.69,1.42
1,24.56,1.4
1,24.57,1.4
1,24.51,1.4
1,24.53,1.41
1,24.48,1.4
1,24.37,1.39
1,24.33,1.4
1,24.37,1.4
1,24.8,1.4
1,24.91,1.41
1,24.88,1.41
1,24.84,1.42
1,24.67,1.41
1,24.79,1.39
1,24.9,1.42
1,24.82,1.4
1,24.77,1.4
1,24.73,1.4
1,24.72,1.41
1,24.46,1.41
1,24.37,1.4
1,24.49,1.4
1,24.48,1.39
1,24.48,1.41
1,24.44,1.4
1,24.56,1.4
1,24.9,1.4
1,24.83,1.4
1,24.26,1.38
1,24.19,1.39
1,24.44,1.4
1,24.94,1.41
1,24.96,1.39
1,24.87,1.42
1,24.8,1.42
1,24.73,1.41
1,24.91,1.4
1,25.07,1.42
1,25.08,1.42
1,25.05,1.42
1,24.99,1.42
1,25.02,1.41
1,24.96,1.4
1,24.94,1.41
1,24.88,1.41
1,24.92,1.38
1,24.92,1.39
1,24.91,1.4
1,24.75,1.41
1,24.84,1.39
1,24.74,1.38
