x,y,z
0,4.25,42.46
0,4.23,42.52
0,4.21,42.14
0,4.24,42.08
0,4.24,42.05
0,4.26,42.41
0,4.18,42.48
0,4.24,42.46
0,4.24,42.52
0,4.25,42.04
0,4.21,41.74
0,4.27,41.5
0,4.27,41.95
0,4.23,41.9
0,4.26,41.88
0,4.24,41.95
0,4.26,42.16
0,4.21,42.46
0,4.24,42.45
0,4.25,42.47
0,4.27,42.48
0,4.28,42.48
0,4.23,42.44
0,4.24,42.27
0,4.26,42.23
0,4.25,42.35
0,4.25,42.41
0,4.26,42.47
0,4.26,42.46
0,4.27,42.42
0,4.27,42.37
0,4.22,42.38
0,4.24,42.3
0,4.2,42.34
0,4.2,42.41
0,4.22,42.43
0,4.26,42.14
0,4.27,42.18
0,4.24,42.25
0,4.24,42.36
0,4.27,42.5
0,4.27,42.54
0,4.28,42.63
0,4.27,42.55
0,4.27,42.19
0,4.28,42.26
0,4.28,42.44
0,4.27,42.37
0,4.24,42.34
0,4.26,42.09
0,4.28,42.58
0,4.25,42.57
0,4.21,42.41
0,4.2,42.32
0,4.26,42.31
0,4.26,42.32
0,4.25,42.43
0,4.26,42.49
0,4.26,42.44
0,4.29,42.35
0,4.26,42.42
0,4.22,42.38
0,4.28,42.48
0,4.27,42.46
0,4.25,42.41
0,4.26,42.5
0,4.25,42.33
0,4.23,42.24
0,4.26,42.29
0,4.25,42.22
0,4.27,42.01
0,4.29,42.12
0,4.26,42.62
0,4.25,42.44
0,4.25,42.69
0,4.27,42.71
0,4.27,42.76
0,4.28,42.77
0,4.27,42.78
0,4.23,42.88
0,4.24,42.9
0,4.27,42.93
0,4.27,42.92
0,4.27,42.79
0,4.29,42.77
0,4.25,42.84
0,4.25,42.69
0,4.25,42.18
0,4.29,42.1
0,4.3,42.01
0,4.25,42.32
0,4.23,42.24
0,4.24,42.3
0,4.24,42.22
0,4.24,42.68
0,4.24,42.62
0,4.22,42.63
0,4.25,42.18
0,4.22,42.23
0,4.25,42.3
0,4.24,42.76
0,4.2,42.84
0,4.23,42.94
0,6.06,54.18
0,6.03,54.07
0,6.03,54.5
0,6.06,54.6
0,6.06,54.68
0,6,54.66
0,6.03,54.44
0,6.01,54.56
0,6.04,54.47
0,6.01,54.69
0,6,54.53
0,6,54.67
0,6.03,54.52
0,6.04,54.6
0,6,54.53
0,6.08,54.33
0,6.08,54.31
0,6.05,54.21
0,6.03,54.17
0,6.03,54.23
0,6.04,54.22
0,6.04,54.36
0,6.03,54.38
0,6.03,54.41
0,6.03,54.6
0,6.08,54.83
0,6.05,54.73
0,6,54.26
0,6.01,54.29
0,6.07,54.69
0,6.07,54.77
0,6.05,54.65
0,6.03,54.59
0,6.07,54.71
0,6.06,55.42
0,6.04,54.96
0,6.04,54.83
0,6.05,54.75
0,6.02,55.71
0,6.05,55.34
0,6.02,54.49
0,6.02,54.35
0,6.08,54.32
0,6.07,54.39
0,6.05,54.41
0,6.06,54.48
0,6.02,54.68
0,6.04,54.44
0,6.04,54.6
0,6.07,54.7
0,6.07,54.81
0,6.09,54.92
0,6.06,54.92
0,6.07,54.91
0,6.03,55.03
0,6.05,55.05
0,6.05,55
0,6.05,55.08
0,6.03,55.14
0,5.99,54.61
0,6,54.61
0,6.01,54.75
0,6.05,54.62
0,6.05,54.68
0,6.01,54.76
0,6.03,54.82
0,6.04,54.59
0,6.04,54.34
0,6.03,54.41
0,6.01,54.37
0,6.04,54.48
0,6.02,54.45
0,6.03,54.59
0,6.03,54.79
0,6.02,54.82
0,6.06,54.8
0,6.03,54.85
0,6.03,54.94
0,6.04,54.96
0,6.01,54.76
0,6.05,55.03
0,6.04,54.85
0,6.02,54.96
0,6.05,54.99
0,6.06,54.79
0,6.06,54.61
0,6.04,54.56
0,6.04,54.64
0,6.03,54.82
0,6.04,54.4
0,6.05,54.3
0,6.05,54.38
0,6.07,54.43
0,6.08,54.38
0,6.03,54.34
0,6.03,54.47
0,6.02,54.73
0,6.03,55.13
0,6.05,55.2
0,6.05,54.84
0,6.09,54.69
0,6.05,54.66
0,6.06,54.85
0,6.08,54.75
0,6.08,55.09
0,6.03,55.02
0,6.06,55.06
0,6.07,54.8
0,6.03,54.98
0,6.04,55.49
0,8.73,71.86
0,8.7,72.09
0,8.75,71.6
0,8.73,71.73
0,8.7,71.73
0,8.66,72
0,8.75,71.58
0,8.67,70.84
0,8.73,71.06
0,8.74,70.96
0,8.73,71.28
0,8.75,71.54
0,8.72,71.62
0,8.71,71.69
0,8.73,72.38
0,8.72,72.18
0,8.7,72.03
0,8.75,71.06
0,8.79,71.13
0,8.73,71.16
0,8.73,72.11
0,8.74,72.07
0,8.72,72.17
0,8.74,72.05
0,8.75,71.64
0,8.74,71.35
0,8.67,71.41
0,8.74,71.48
0,8.73,71.45
0,8.71,71.32
0,8.75,71.49
0,8.73,72.08
0,8.72,72.28
0,8.71,72.06
0,8.72,72.01
0,8.75,72.25
0,8.77,72.19
0,8.73,72.21
0,8.71,72.27
0,8.75,72.37
0,8.7,72.25
0,8.74,72.42
0,8.74,72.43
0,8.79,72.06
0,8.74,72.13
0,8.75,72.19
0,8.79,71.2
0,8.75,71.17
0,8.73,71.19
0,8.74,71.17
0,8.74,72.14
0,8.72,72.13
0,8.72,71.42
0,8.7,71.48
0,8.75,71.41
0,8.71,71.47
0,8.74,72.12
0,8.76,72.21
0,8.78,72.85
0,8.77,72.97
0,8.77,73.14
0,8.77,72.68
0,8.76,72.43
0,8.74,72.04
0,8.72,72.32
0,8.71,72.33
0,8.67,72.42
0,8.71,72.44
0,8.73,72.43
0,8.76,72.14
0,8.77,72.55
0,8.79,72.15
0,8.79,71.68
0,8.69,71.6
0,8.73,71.74
0,8.71,71.52
0,8.71,72.11
0,8.79,72.25
0,8.7,72.35
0,8.7,71.91
0,8.74,72.13
0,8.76,72.07
0,8.69,72.16
0,8.74,71.69
0,8.74,71.9
0,8.79,71.91
0,8.76,71.98
0,8.7,72.13
0,8.73,72.11
0,8.74,72.12
0,8.77,72.12
0,8.77,72.13
0,8.72,72.12
0,8.7,72.38
0,8.7,72.47
0,8.79,72.25
0,8.74,71.9
0,8.71,71.95
0,8.73,72.06
0,8.72,71.76
1,0,9.713
1,0,9.808
1,0,11.14
1,0,11.13
1,0,10.05
1,0,9.493
1,0,9.436
1,0,9.382
1,0,9.261
1,0,9.737
1,0,9.986
1,0,10.5
1,0,10.67
1,0,10.7
1,0,10.79
1,0,10.36
1,0,10.09
1,0,10.1
1,0,10.29
1,0,10.28
1,0,10.26
1,0,10.39
1,0,10.04
1,0,10.02
1,0,9.908
1,0,9.789
1,0,9.766
1,0,9.838
1,0,9.984
1,0,10.43
1,0.69,15.74
1,0.69,15.95
1,0.7,15.81
1,0.71,15.8
1,0.7,15.77
1,0.71,15.74
1,0.71,16.05
1,0.71,16.01
1,0.72,16
1,0.72,15.88
1,0.72,15.75
1,0.72,15.72
1,0.72,15.73
1,0.72,15.71
1,0.72,16.24
1,0.71,16.41
1,0.72,16.59
1,0.72,16.61
1,0.72,16.58
1,0.72,16.57
1,0.73,16.34
1,0.72,16.16
1,0.73,16.09
1,0.73,16.11
1,0.72,16.42
1,0.73,16.42
1,0.73,16.17
1,0.74,16.15
1,0.73,16.17
1,0.73,15.87
1,0.74,16.36
1,0.72,16.31
1,0.73,16.31
1,0.75,16.69
1,0.74,16.59
1,0.72,16.55
1,0.73,16.71
1,0.73,16.69
1,0.74,16.66
1,0.73,16.65
1,0.74,16.63
1,0.73,16.36
1,0.72,16.38
1,0.73,16.37
1,0.73,16.36
1,0.72,16.59
1,0.72,16.6
1,0.73,16.6
1,0.73,16.57
1,0.74,16.69
1,0.74,16.82
1,0.75,16.83
1,0.73,16.93
1,0.73,16.53
1,0.74,16.5
1,0.73,16.51
1,0.74,16.5
1,0.75,16.42
1,0.74,16.45
1,0.74,16.5
1,1.4,24.87
1,1.43,24.87
1,1.42,24.81
1,1.42,24.75
1,1.41,25.02
1,1.43,24.96
1,1.42,24.98
1,1.4,24.9
1,1.39,24.88
1,1.4,24.88
1,1.39,24.99
1,1.38,24.56
1,1.39,24.56
1,1.38,24.54
1,1.39,24.5
1,1.41,25.01
1,1.4,25.19
1,1.4,25.1
1,1.42,25.15
1,1.42,25.07
1,1.41,25.07
1,1.4,25.03
1,1.4,25.07
1,1.41,25.05
1,1.39,24.73
1,1.39,24.7
1,1.39,24.67
1,1.4,24.75
1,1.4,24.75
1,1.4,24.69
1,1.39,24.66
1,1.4,24.67
1,1.42,24.62
1,1.42,24.62
1,1.42,24.56
1,1.41,24.8
1,1.42,24.77
1,1.42,24.71
1,1.42,24.69
1,1.4,24.56
1,1.4,24.57
1,1.4,24.51
1,1.41,24.53
1,1.4,24.48
1,1.39,24.37
1,1.4,24.33
1,1.4,24.37
1,1.4,24.8
1,1.41,24.91
1,1.41,24.88
1,1.42,24.84
1,1.41,24.67
1,1.39,24.79
1,1.42,24.9
1,1.4,24.82
1,1.4,24.77
1,1.4,24.73
1,1.41,24.72
1,1.41,24.46
1,1.4,24.37
1,1.4,24.49
1,1.39,24.48
1,1.41,24.48
1,1.4,24.44
1,1.4,24.56
1,1.4,24.9
1,1.4,24.83
1,1.38,24.26
1,1.39,24.19
1,1.4,24.44
1,1.41,24.94
1,1.39,24.96
1,1.42,24.87
1,1.42,24.8
1,1.41,24.73
1,1.4,24.91
1,1.42,25.07
1,1.42,25.08
1,1.42,25.05
1,1.42,24.99
1,1.41,25.02
1,1.4,24.96
1,1.41,24.94
1,1.41,24.88
1,1.38,24.92
1,1.39,24.92
1,1.4,24.91
1,1.41,24.75
1,1.39,24.84
1,1.38,24.74
1,1.39,24.6
1,1.38,24.66
1,1.38,24.58
1,1.41,24.55
1,1.4,24.57
1,1.4,24.59
1,1.42,24.6
1,1.4,24.53
1,1.4,24.54
1,1.41,24.49
1,1.41,24.44
1,1.41,24.49
1,1.41,24.44
1,1.41,24.59
1,1.4,24.87
1,1.39,24.91
1,1.39,24.88
1,1.39,24.86
1,1.41,24.89
1,1.4,24.87
1,1.38,24.85
1,1.41,24.68
1,1.4,24.58
1,1.39,24.58
1,1.41,24.55
1,1.41,24.42
1,1.41,24.35
1,1.39,24.45
1,1.42,24.49
1,1.4,24.33
1,1.41,24.31
1,1.42,24.35
1,1.42,24.28
1,1.42,24.24
1,1.42,24.31
1,1.4,24.33
1,1.41,24.35
1,1.4,24.33
1,1.4,24.27
1,1.4,24.38
1,1.38,24.38
1,1.4,24.33
1,1.4,24.32
1,1.38,24.83
1,1.42,24.72
1,1.39,24.71
1,1.42,24.73
1,1.41,24.85
1,1.42,24.9
1,1.41,24.89
1,1.41,24.82
1,1.4,24.84
1,1.42,24.96
1,1.41,24.93
1,1.4,25.18
1,1.39,25.15
1,1.39,25.11
1,1.41,25.12
1,1.4,25.05
1,1.38,24.89
1,1.41,24.75
1,1.41,24.63
1,1.41,24.57
1,1.39,24.62
1,1.41,24.74
1,1.41,24.7
1,1.4,24.7
1,1.41,24.69
1,1.4,24.55
1,1.41,24.53
1,1.41,24.54
1,1.42,24.7
1,1.4,24.65
1,1.4,24.58
1,1.38,24.42
1,1.39,24.41
1,1.4,24.37
1,1.4,24.63
1,1.39,24.48
1,1.41,24.58
1,1.41,24.46
1,1.37,24.44
1,1.4,24.49
1,1.4,24.49
1,1.41,24.4
1,1.4,24.42
1,1.42,24.85
1,1.4,24.93
1,1.41,24.93
1,1.41,24.34
1,1.39,24.34
1,1.41,24.33
1,1.4,24.29
1,1.41,24.29
1,1.39,24.27
1,1.38,24.87
1,1.39,24.94
1,1.4,24.97
1,1.39,24.9
1,1.39,24.86
1,1.4,24.92
1,1.4,25.25
1,1.43,24.91
1,1.41,24.88
1,1.4,25.16
1,1.43,25.16
1,1.41,25.15
1,1.42,25.12
1,1.41,25.05
1,1.4,25.05
1,1.42,24.97
1,1.42,25.16
1,1.41,25.16
1,1.41,25.19
1,1.42,25.07
1,1.94,28.92
1,1.92,28.99
1,1.93,29.32
1,1.89,29.35
1,1.93,29.32
1,1.91,29.24
1,1.95,29.28
1,1.9,29.25
1,1.91,29.22
1,1.91,29.17
1,1.93,29.18
1,1.9,29.13
1,1.91,29.1
1,1.91,29.13
1,1.9,29.25
1,1.91,29.18
1,1.92,29.23
1,1.92,29.1
1,1.9,29.06
1,1.9,29.04
1,1.9,29.02
1,1.91,29.11
1,1.92,29.06
1,1.92,29.18
1,1.92,29.23
1,1.91,29.28
1,1.92,29.23
1,1.91,29.58
1,1.91,29.62
1,1.95,29.54
1,1.92,29.18
1,1.91,29.18
1,1.92,29.22
1,1.92,29.32
1,1.9,29.28
1,1.94,29.29
1,1.92,29.21
1,1.92,28.54
1,1.92,28.5
1,1.93,28.8
1,1.92,29.06
1,1.94,29.37
1,1.91,29.5
1,1.93,29.48
1,1.92,29.57
1,1.92,29.71
1,1.91,29.77
1,1.93,29.72
1,1.92,29.71
1,1.92,29.64
1,1.94,29.65
1,1.94,29.59
1,1.93,29.78
1,1.93,29.78
1,1.92,29.63
1,1.91,29.54
